"","city","data","total"
"323","Lake Los Angeles",2,71028
"324","Troy",1,15040
"325","Reading",2,4902
"326","Fullerton",3,20020
"327","Bakersfield",1,16237
"328","Nashville",25,1512923
"329","Los Angeles",11,85992
"330","Webbers Falls",1,307
"331","Rosenberg",2,101539
"332","Casa Grande",1,8996
"333","Billings",1,3893
"334","Colorado Springs",3,23703
"335","Escondido",1,13249
"336","Worcester",17,398854
"337","Elizabeth City",1,53067
"338","San Antonio",2,1247
"339","San Antonio",1,26620
"340","Columbus",6,107258
"341","Alameda",5,507002
"342","Dallas",15,262491
"343","Colorado Springs",1,653
"344","Aransas Pass",36,1687311
"345","Dothan",1,13987
"346","Fort Worth",2,7278
"347","Eastpointe",17,718353
"348","Burnsville",4,79820
"349","Douglasville",1,3040
"350","Hayward",4,668382
"351","Winter Haven",20,1075798
"352","Spokane",2,1787
"353","Fort Lupton",3,4442
"354","San Antonio",1,12595
"355","Portland",4,102511
"356","Albuquerque",12,302284
"357","San Antonio",1,375
"358","North Lauderdale",11,202335
"359","Tuscaloosa",13,154793
"360","Roswell",1,447
"361","Houston",25,3506126
"362","Mars Hill",5,20482
"363","San Diego",5,39789
"364","Garden City",3,8824
"365","Honolulu",1,1905
"366","Leonardtown",2,666
"367","Westerville",4,32100
"368","Knoxville",1,4051
"369","Brooklyn Center",1,39182
"370","San Fernando",1,3762
"371","Salt Lake City",4,20485
"372","San Marcos",1,53519
"373","Rockford",2,119476
"374","Metairie",10,302419
"375","Georgetown",1,704
"376","Lena",2,9554
"377","Hotchkiss",1,328
"378","Philadelphia",1,1816
"379","Takoma Park",1,8907
"380","Takoma Park",1,7461
"381","Daly City",8,289490
"382","Miami",3,188038
"383","Redding",1,6599
"384","Oneonta",2,31999
"385","Buena Vista",1,7518
"386","Honolulu",1,33373
"387","Anadarko",1,2349
"388","Birmingham",10,106447
"389","Bronx",1,3951
"390","Phoenix",1,5470
"391","Moreno Valley",2,30979
"392","Castle Pines",1,7202
"393","Alorton",8,214547
"394","Corvallis",8,220987
"395","Washington",1,17501
"396","Corona",1,53861
"397","Salem",2,11851
"398","Lakewood",2,27054
"399","Brighton",1,16964
"400","Rock Island",1,3855
"401","Chicago",3,182581
"402","Independence",5,100442
"403","Lithonia",7,38310
"404","Barstow",28,518012
"405","Visalia",4,6131
"406","Claremont",2,36543
"407","Jacksonville",1,78995
"408","Lithia Springs",2,36330
"409","Bristol",3,6955
"410","Chicago",4,179913
"411","Los Angeles",11,578523
"412","Corpus Christi",1,21196
"413","Lompoc",8,315502
