"","city","data","total"
"1969","Irvington",1,10470
"1970","Moss Point",3,12819
"1971","Martinsburg",2,19910
"1972","Leitchfield",1,46550
"1973","Council Bluffs",1,130641
"1974","Longview",2,33532
"1975","Glenshaw",1,44660
"1976","Grants Pass",1,6620
"1977","Salt Lake City",2,2588
"1978","Memphis",1,26725
"1979","Glen Burnie",1,9630
"1980","Lowell",2,16386
"1981","Rifle",1,68823
"1982","Everett",1,1266
"1983","Arvin",2,75860
"1984","Dayton",2,24019
"1985","Hanceville",1,6257
"1986","Safety Harbor",5,99037
"1987","Loganville",1,1946
"1988","Colorado Springs",1,668
"1989","Carson City",2,49859
"1990","Minneapolis",1,11226
"1991","Indianapolis",1,625
"1992","Charlotte",1,11784
"1993","Tampa",1,56551
"1994","Los Angeles",2,19498
"1995","Arlington",1,9638
"1996","Allentown",1,26501
"1997","Charleston",2,33379
"1998","McKee",2,33911
"1999","San Antonio",4,60598
"2000","Westwood",2,5874
"2001","Austin",1,91684
"2002","Chattanooga",1,692
"2003","Roy",2,90401
"2004","Portland",1,2312
"2005","Channelview",1,11715
"2006","Houston",1,35721
"2007","Boynton Beach",2,39141
"2008","Dallas",1,27933
"2009","Hartford",3,42571
"2010","Bluffton",1,9495
"2011","Roaring Spring",2,83750
"2012","Robinson",1,5621
"2013","Port Allen",1,97
"2014","Pittsburgh",1,22292
"2015","Asbury Park",1,30075
"2016","Colorado Springs",1,60172
"2017","Gaffney",1,1815
"2018","Ranburne",4,66340
"2019","Wesson",1,171
"2020","Tacoma",1,3658
"2021","Albuquerque",1,313
"2022","Pemberton",1,53126
"2023","League City",1,24601
"2024","Fort Worth",1,5704
"2025","Pueblo",1,864
"2026","Leslie",3,2729
"2027","Birmingham",4,69283
"2028","West Palm Beach",4,73562
"2029","Modesto",2,38819
"2030","Modesto",1,25220
"2031","McAlester",1,18646
"2032","Metairie",1,12933
"2033","Angleton",1,2505
"2034","Angleton",1,625
"2035","Memphis",1,5220
"2036","Chino Hills",1,34077
"2037","Baltimore",1,6878
"2038","Salt Lake City",1,6429
"2039","Smithville",1,15322
"2040","Smithville",2,14111
"2041","Porterdale",1,62310
"2042","Hollywood",1,40
"2043","Oak Ridge",1,4514
"2044","Dallas",1,17179
"2045","Kirkland",1,14649
"2046","Tacoma",1,24274
"2047","Wildwood",1,3545
"2048","Jacksonville",1,1901
"2049","Adelanto",1,79112
"2050","Union",1,7713
"2051","Cleveland",3,11171
"2052","Rancho Mirage",1,55188
"2053","Citrus Heights",1,1973
"2054","Bakersfield",1,3362
"2055","Greenville",1,50309
"2056","Chicago",1,1835
"2057","Bronx",1,71518
"2058","Jacksonville",1,23544
"2059","Timberville",2,27189
"2060","Tularosa",2,2613
"2061","Rosedale",2,23580
"2062","Wilson",1,888
"2063","Ruskin",2,106455
"2064","Anaheim",1,10730
"2065","West Jordan",1,12335
"2066","Pensacola",3,42531
"2067","Oak View",1,24832
"2068","Mountain Grove",1,33161
"2069","Roswell",5,36820
"2070","Lakewood",2,40290
"2071","Chino",1,1325
"2072","Salem",1,13880
"2073","El Paso",2,22088
"2074","Poulsbo",2,100432
"2075","West Des Moines",1,48183
"2076","Eagan",2,8655
"2077","Albuquerque",1,77352
"2078","Gaylord",1,2283
"2079","Elyria",2,11451
"2080","Denver",4,114761
"2081","Port St. Lucie",1,49840
"2082","Wagoner",1,50616
"2083","Pontotoc",1,30324
"2084","Athens",1,56
"2085","Clayton",1,6341
"2086","Lantana",1,1100
"2087","Houston",1,4266
"2088","Linwood",1,3132
"2089","Bacliff",1,48518
"2090","Pearl",1,53083
"2091","Stroudsburg",1,4290
"2092","Pueblo",1,1870
"2093","East Los Angeles",1,30068
"2094","Yucca Valley",1,440
"2095","Bellevue",2,5275
"2096","Tulsa",1,5512
"2097","Springfield",1,1595
"2098","Elloree",1,977
"2099","Hazel Green",1,22977
"2100","Timberville",2,59216
"2101","Sugarcreek",2,20816
"2102","San Antonio",2,176428
"2103","Menasha",1,8044
"2104","Boston",1,32032
"2105","Englewood",1,287401
"2106","Seminole",1,1202
"2107","Springfield",1,955
"2108","Phoenix",1,11986
"2109","Ashville",1,8456
"2110","Mission",1,12314
"2111","Centralia",1,4177
"2112","Dallas",1,593
"2113","Brownsville",1,16516
"2114","Las Cruces",2,102708
"2115","Tucson",1,33486
"2116","South Bend",1,247
"2117","Hueytown",1,862
"2118","Renton",2,101616
"2119","Pearland",2,25129
"2120","Tulsa",1,7333
"2121","Toppenish",1,48992
"2122","Belmont",1,13
"2123","Fairbanks",1,448
"2124","Chula Vista",1,12301
"2125","Florissant",1,15061
"2126","Rockville",1,20357
"2127","Jacksonville",1,826
"2128","Dallas",1,18100
"2129","Memphis",2,13233
"2130","San Leandro",4,46268
"2131","Orlando",1,32421
"2132","Riverside",2,26858
"2133","San Diego",1,49323
"2134","Como",1,21421
"2135","Arpin",1,17208
"2136","Poteau",4,12417
"2137","Oklahoma City",1,14617
"2138","Kingsport",1,382720
"2139","Lawton",2,20347
"2140","DeSoto",1,6089
"2141","Portland",2,6539
"2142","Menifee",1,294
"2143","Fort Worth",1,3453
"2144","Shirley",1,58081
"2145","Clearwater",1,18041
"2146","Albuquerque",1,1869
"2147","Fresno",2,7627
"2148","Bristol",1,771
"2149","Hawthorne",2,25377
"2150","San Gabriel",1,34839
"2151","Los Angeles",1,2034
"2152","Willowbrook",1,1861
"2153","St. Louis",1,927
"2154","Braxton",1,357
"2155","Modesto",1,8351
"2156","Trinity",1,755
"2157","Escalon",1,8577
"2158","Bernalillo",1,402
"2159","Jonesboro",3,97730
"2160","Indialantic",1,23573
"2161","San Diego",2,1389
"2162","Collierville",2,35521
"2163","Detroit",1,5528
"2164","Ardsley",1,1256
"2165","Walnut Creek",1,4241
"2166","Fort Worth",1,4776
"2167","Anderson",1,10
"2168","Bartlesville",3,16467
"2169","Shreveport",1,1072
"2170","Auburn",1,849
"2171","Gorham",1,1075
"2172","Winston",1,6131
"2173","Virginia Beach",1,13759
"2174","Huntsville",3,68165
"2175","Wilmington",1,4219
"2176","Amarillo",1,1420
"2177","Chicago",1,32389
"2178","Joliet",3,45466
"2179","Wichita",1,34207
"2180","Kansas City",1,94
"2181","Odessa",1,38391
"2182","Houston",1,14485
"2183","Fort Lauderdale",3,27528
"2184","Vero Beach",1,12198
"2185","Montgomery",2,29904
"2186","Wichita",2,107317
"2187","Chicago",3,11709
"2188","Fort Wayne",2,2361
"2189","Inman",1,41581
"2190","Ashland",1,18609
"2191","Lynwood",1,27837
"2192","Golden Hills",1,1257
"2193","Auburn",1,16540
"2194","Vicco",1,1779
"2195","Auburn",1,3865
"2196","Miami Gardens",1,5478
"2197","Archdale",1,37339
"2198","Carlsbad",1,113
"2199","Blackwell",2,15594
"2200","Phoenix",1,631
"2201","Huron",2,6315
"2202","Oxford",1,1198
"2203","Trinidad",1,8645
"2204","Garden Grove",1,57464
"2205","Tonalea",1,509
"2206","Pasadena",1,65578
"2207","Davie",2,22230
"2208","New Boston",1,96692
"2209","New Orleans",6,40913
"2210","Palm Beach Gardens",1,2144
"2211","Jeffersontown",1,5647
"2212","Tamarac",1,7767
"2213","Appleton",1,5830
"2214","Las Vegas",2,1670
"2215","Baytown",1,23224
"2216","Gardena",1,2811
"2217","Rising Sun",2,13061
"2218","Chicago",1,205
"2219","Savannah",1,55676
"2220","Columbus",2,51898
"2221","South Sioux City",1,6747
"2222","Tulsa",1,42918
"2223","Monroe",1,8098
"2224","Montebello",1,28517
"2225","Phoenix",1,823
"2226","Wytheville",1,10698
"2227","Seattle",1,14430
"2228","Milwaukee",1,15961
"2229","Santa Barbara",1,1985
"2230","Lumberton",1,99357
"2231","Mesa",1,2255
"2232","Rapid City",1,26889
"2233","Angel Fire",2,9443
"2234","San Jose",1,899
"2235","Stockton",2,55829
"2236","Spokane Valley",1,24523
"2237","Hermantown",1,129638
"2238","Gadsden",1,21210
"2239","Cedar Hill",2,58109
"2240","Glenwood",3,73453
"2241","Miami",1,483
"2242","Los Lunas",1,36482
"2243","Los Angeles",1,95135
"2244","Welcome",2,22553
"2245","Phoenix",1,1476
"2246","Portland",1,558
"2247","Edmond",2,13351
"2248","Bay St. Louis",1,906
"2249","Hemphill",1,1005
"2250","Austin",3,10119
"2251","Sparks",2,57197
"2252","Pueblo",1,18490
"2253","Denver",1,26001
"2254","Clarksville",1,3742
"2255","Green Bay",1,4338
"2256","Apex",1,33876
"2257","Stratford",2,2937
"2258","Colorado Springs",1,12661
"2259","Owingsville",1,16938
"2260","Tifton",1,5490
"2261","Los Angeles",1,67644
"2262","Watauga",1,16338
"2263","Shelby",1,2117
"2264","Raleigh",1,44379
"2265","Colorado Springs",1,823
"2266","Little Rock",1,7867
"2267","Athens",1,1236
"2268","Fremont",2,364
"2269","New York",1,8276
"2270","Coon Rapids",2,1207
"2271","Morgantown",2,6221
"2272","Lewiston",1,2169
"2273","Montesano",1,65671
"2274","Fountain Inn",2,3260
"2275","Rome",1,213
"2276","Pigeon Forge",1,783
"2277","Bronx",1,1285
"2278","Los Angeles",2,27439
"2279","Kalama",2,8794
"2280","Red Bluff",1,7087
"2281","Dalhart",1,1317
"2282","Rushville",1,2640
"2283","St. Louis",1,9611
"2284","Buckeye",1,28665
"2285","Ocoee",3,72689
"2286","Clinton",1,10899
"2287","Phoenix",2,38655
"2288","St. Louis",1,3851
"2289","Richmond",1,1489
"2290","Boerne",1,15518
"2291","Canutillo",1,935
"2292","DeLand",2,48706
"2293","Pinellas Park",1,24024
"2294","Indio",1,8521
"2295","Mexico Beach",2,54058
"2296","Shreveport",1,92108
"2297","Louisville",2,3153
"2298","Pueblo",1,2820
"2299","New Lisbon",1,65364
"2300","Salt Lake City",1,4967
"2301","Chattanooga",2,4504
"2302","Greeneville",1,267
"2303","Blytheville",2,1100
"2304","New Albany",1,4543
"2305","Bloomington",1,5434
"2306","Glendale Heights",1,14196
"2307","Anaheim",1,7778
"2308","Kalamazoo",1,200915
"2309","San Ysidro",1,57577
"2310","Boynton Beach",1,2683
"2311","Pelion",1,22781
"2312","Brownstown",1,308
"2313","Redding",1,200370
"2314","Union City",1,10524
"2315","La Follette",1,24201
"2316","Springfield",1,377
"2317","Anchorage",1,1028
"2318","Atlanta",1,733
"2319","Springfield",1,16861
"2320","Marana",3,235087
"2321","Fairbanks",1,20427
"2322","North Miami",1,1252
"2323","Durham",1,15887
"2324","Boone",1,14009
"2325","Glendale",1,12005
"2326","Seguin",3,16477
"2327","Inglewood",2,43665
"2328","Chickasha",1,3388
"2329","Manchester",1,7036
"2330","Rochester",1,894
"2331","Burnet",1,30908
"2332","Morton",1,3958
"2333","Gretna",1,25553
"2334","Gretna",2,156787
"2335","Baltimore",1,41589
"2336","Charlotte",2,57407
"2337","St. Louis",1,1850
"2338","Thurmont",1,7035
"2339","Nichols",1,95968
"2340","Port St. Joe",1,8816
"2341","New Bern",1,136037
"2342","Walterboro",2,39614
"2343","Sandy Springs",1,48125
"2344","Modesto",1,55554
"2345","San Antonio",1,23270
"2346","Las Vegas",2,42174
"2347","State College",1,7661
"2348","Tampa",1,28178
"2349","University City",2,14575
"2350","Kittitas",2,54287
"2351","Bastrop",3,51731
"2352","Mansfield",1,19743
"2353","Palmdale",1,3653
"2354","Clermont",1,2369
"2355","Glen Carbon",1,12097
"2356","Las Vegas",1,1009
"2357","Dublin",1,258277
"2358","Dublin",1,27007
"2359","Jacksonville",1,16183
"2360","Federal Way",1,15972
"2361","Trenton",2,399
"2362","Sallisaw",1,9408
"2363","Ontario",1,3457
"2364","Hamilton",1,3532
"2365","San Leandro",1,23851
"2366","Phoenix",1,2545
"2367","Greensburg",1,11690
"2368","Grand Island",1,1395
"2369","Miami",1,834
"2370","Waleska",1,70465
"2371","Kalamazoo",1,111126
"2372","Westminster",1,297
"2373","Lakewood",1,663
"2374","San Bernardino",1,3190
"2375","Burlington",2,15679
"2376","Redding",1,1440
"2377","Cofield",1,1777
"2378","Phoenix",2,40640
"2379","Buckeye",3,7615
"2380","Battle Creek",1,14460
"2381","Quanah",1,20029
"2382","Monahans",1,8383
"2383","Athens",2,45629
"2384","Jonesboro",1,784
"2385","Anchorage",1,3997
"2386","Morgantown",1,10141
"2387","Decatur",1,1446
"2388","Springfield",1,696
"2389","Bakersfield",2,24698
"2390","Muskogee",2,5816
"2391","Greenville",1,25977
"2392","San Antonio",1,8595
"2393","San Antonio",1,31336
"2394","Rancho Mirage",1,13584
"2395","Aurora",1,6373
"2396","Des Moines",1,6121
"2397","Mount Holly",1,635
"2398","Fairchild",1,202
"2399","Grayson",1,909
"2400","Sebewaing",1,79768
"2401","Honolulu",1,3679
"2402","Waco",1,45202
"2403","Salinas",1,12198
"2404","Fairfield",2,12674
"2405","Vancouver",1,2788
"2406","Littleton",1,38924
"2407","Killeen",1,5445
"2408","Struthers",1,8752
"2409","DeRidder",1,6390
"2410","Townsend",1,1564
"2411","Miltona",1,10816
"2412","Denver",1,94580
"2413","Springfield",1,5182
"2414","Flint",1,3165
"2415","Carrollton",1,2465
"2416","Victorville",1,133
"2417","Clarksville",1,8338
"2418","Blountville",1,14159
"2419","Greeley",1,346
"2420","Boston",1,5958
"2421","Poteet",1,2092
"2422","Little Rock",1,604
"2423","Walton",1,2215
"2424","Willimantic",1,5866
"2425","Randallstown",2,23845
"2426","Vancouver",1,79351
"2427","Horn Lake",2,44188
"2428","Honolulu",1,11778
"2429","Pelahatchie",1,48469
"2430","Lithia Springs",1,14937
"2431","Napa",2,7320
"2432","Tazewell",1,3620
"2433","New Orleans",1,37988
"2434","Chicago",1,13366
"2435","Clinton",1,1262
"2436","Aurora",1,4012
"2437","Los Angeles",1,6725
"2438","San Jose",1,495
"2439","Jackson",1,30053
"2440","Corpus Christi",1,25752
"2441","Hubbard",4,24408
"2442","Apex",1,47896
"2443","Richmond Hill",1,2399
"2444","Cinco Ranch",1,27826
"2445","Cinco Ranch",1,41058
"2446","Merced",1,13968
"2447","Defiance",1,16899
"2448","Fairbanks",1,24598
"2449","Fullerton",1,68078
"2450","Crestwood",1,7674
"2451","Montgomery",1,5225
"2452","Redding",1,9616
"2453","Waukesha",1,21148
"2454","Greenville",2,14575
"2455","Del City",1,184755
"2456","Virginia Beach",1,21734
"2457","Vallejo",1,19905
"2458","Bailey",1,1146
"2459","New York",2,37362
"2460","Bakersfield",1,9508
"2461","Barberton",1,7724
"2462","Seattle",1,1745
"2463","Banning",1,3495
"2464","Memphis",1,65807
"2465","Edinburg",1,1121
"2466","Madera",1,14928
"2467","Snyder",1,25574
"2468","McHenry",1,6008
"2469","Murfreesboro",3,16207
"2470","Joliet",1,1717
"2471","La Salle",1,387647
"2472","Shreveport",1,1369
"2473","Phoenix",1,22031
"2474","Farmville",1,1485
"2475","Orange Park",1,55209
"2476","Waukegan",1,1497
"2477","Flagstaff",1,443
"2478","Buford",1,5063
"2479","Stockton",1,1534
"2480","Denver",1,18943
"2481","Passaic",1,1699
"2482","Phoenix",1,732
"2483","Midland",1,413
"2484","Austin",1,124972
"2485","Honolulu",1,2710
"2486","Newark",1,85768
"2487","Houston",1,9354
"2488","Houston",1,9641
"2489","Wichita",2,9553
"2490","Binghamton",1,3034
"2491","Richvale",2,9330
"2492","Jackson",1,16234
"2493","Red Bluff",1,28016
"2494","Rosebud",1,1401
"2495","Garland",1,5507
"2496","Century",1,1821
"2497","Florence",1,1431
"2498","Dyersburg",1,44121
"2499","Las Vegas",1,3692
"2500","St. Louis",1,1217
"2501","Ehrenberg",1,3053
"2502","Valparaiso",1,11962
"2503","Spokane",1,35101
"2504","Flagstaff",1,3002
"2505","Flagstaff",1,9160
"2506","Atlanta",1,1755
"2507","North Las Vegas",1,12086
"2508","Prosser",1,2730
"2509","Richland",1,4823
"2510","Billings",1,66107
"2511","St. Louis Park",1,15871
"2512","Woodburn",1,2147
"2513","Knoxville",1,20907
"2514","O'Fallon",1,2649
"2515","Charlotte",2,71868
"2516","West Memphis",1,13755
"2517","West Memphis",1,764
"2518","Silver Spring",1,2512
"2519","Sperry",1,11490
"2520","Evans",1,57746
"2521","Fort Lupton",1,52127
"2522","Atlanta",2,3995
"2523","Tempe",1,8829
"2524","St. Louis",1,48587
"2525","Aurora",1,11874
"2526","Roseville",1,4405
"2527","Swedesboro",1,2831
"2528","El Paso",1,2689
"2529","Vacaville",1,27228
"2530","Odessa",1,504
"2531","Gainesville",1,23602
"2532","Pueblo",2,42956
"2533","Marysville",1,408
"2534","Cathedral City",1,9952
"2535","Cathedral City",1,1556
"2536","Lakewood",1,27939
"2537","Jackson",1,9325
"2538","White Lake",2,3384
"2539","Calabasas",1,826
"2540","Colorado Springs",1,1153
"2541","Sunman",1,2949
"2542","Phoenix",1,678
"2543","Arlington",1,1513
"2544","Eugene",1,113003
"2545","Lake Charles",1,27130
"2546","Eclectic",1,26666
"2547","Wichita",1,24104
"2548","Riverton",1,71422
"2549","Midland",1,37229
"2550","Leadwood",1,4021
"2551","Kent",1,4116
"2552","Decatur",1,4031
"2553","Utica",1,23923
"2554","Tucson",1,109212
"2555","Spokane",1,449
"2556","Tulsa",1,17298
"2557","Houston",2,105101
"2558","Portland",1,76598
"2559","Hurricane",1,28035
"2560","Lemon Grove",1,1152
"2561","Santa Clara",1,36537
"2562","Oak Grove",1,14212
"2563","Fresno",1,7414
"2564","Houston",1,14366
"2565","San Marcos",1,1127
"2566","Amarillo",1,34698
"2567","New Orleans",1,322267
"2568","San Antonio",1,2896
"2569","Millbrook",1,81511
"2570","Visalia",1,11996
"2571","Albert Lea",2,29515
"2572","Bozeman",1,40885
"2573","San Antonio",1,3612
"2574","Memphis",2,29663
"2575","Niles",3,53955
"2576","Shallotte",2,24522
"2577","Alleghany",1,21297
"2578","Seattle",1,3210
"2579","Longmont",1,2158
"2580","Waterville",1,4011
"2581","Dayton",1,8
"2582","Rockford",1,8047
"2583","Llano",1,11547
"2584","Danbury",2,1688
"2585","St. Joseph",1,1569
"2586","Beatty",2,144
"2587","Phoenix",1,5226
"2588","Port Arthur",1,2037
"2589","Orcutt",2,1817
"2590","Tullahoma",1,2036
"2591","Crawfordsville",1,18303
"2592","Cohasset",1,68028
"2593","Clearwater",1,5738
"2594","Lakeland",1,12756
"2595","Rector",1,8510
"2596","Buckeye",1,1210
"2597","San Jose",1,2472
"2598","Albuquerque",1,90209
"2599","Albuquerque",1,27721
"2600","Wailuku",1,16837
"2601","Azusa",2,72665
"2602","Lexington",1,19839
"2603","Toledo",1,6534
"2604","Panama City",1,28266
"2605","Plant City",1,22708
"2606","Valrico",1,11338
"2607","Valrico",1,11517
"2608","Fort Worth",1,2943
"2609","Union City",2,1175
"2610","Hopewell",1,15896
"2611","Lehighton",1,20525
"2612","Palmyra",1,511
"2613","Terre Haute",1,14252
"2614","Phoenix",1,81328
"2615","Sacramento",1,45605
"2616","Aurora",1,13917
"2617","Mesa",1,47741
"2618","Oklahoma City",2,11237
"2619","Kansas City",1,5463
"2620","Darlington",1,1486
"2621","Apple Creek",1,393
"2622","Shirley",1,7240
"2623","Hanford",1,3739
"2624","Newark",2,9216
"2625","Yakima",1,4963
"2626","Memphis",1,120899
"2627","Decatur",1,4293
"2628","Wildwood",1,9214
"2629","Jacksonville",1,23642
"2630","Jacksonville",1,25200
"2631","St. Louis",1,1282
"2632","Albuquerque",1,108
"2633","Buffalo",1,10403
"2634","Jonesboro",1,49006
"2635","Calhoun",1,118488
"2636","Atkins",1,28158
"2637","Redwood City",1,33871
"2638","Fredonia",1,10001
"2639","Rangely",1,3593
"2640","Palatine",1,129216
"2641","Torrance",1,29799
"2642","Staten Island",1,15250
"2643","Tulare",2,38751
"2644","Springdale",1,132438
"2645","Perry",1,6348
"2646","Savannah",1,9792
"2647","Columbus",1,41283
"2648","San Benito",1,44143
"2649","Fort Pierce",1,16313
"2650","Pacheco",1,4114
"2651","Pahrump",1,1898
"2652","Philadelphia",2,85052
"2653","Richmond",1,4956
"2654","St. Louis",1,20902
"2655","Martinez",2,8118
"2656","Arvin",1,2236
"2657","Napa",1,502
"2658","Ogden",2,394760
"2659","Center",1,15742
"2660","Las Vegas",1,1472
"2661","Tamarac",1,474
"2662","Pensacola",1,426
"2663","Ogden",1,10836
"2664","New Underwood",1,13099
"2665","Phoenix",1,14772
"2666","Old Town",1,20890
"2667","Houston",1,2181
"2668","Louisville",2,34001
"2669","Vancouver",3,19625
"2670","Lakewood",1,18120
"2671","Bemidji",1,899
"2672","Centennial",2,2125
"2673","Virginia",1,7727
"2674","Topeka",1,100
"2675","Pahoa",1,6355
"2676","Knoxville",1,1144
"2677","New Albany",1,26095
"2678","Clinton",1,6568
"2679","Salt Lake City",1,15292
"2680","Detroit",1,4668
"2681","Central City",1,6250
"2682","Chicago",2,55281
"2683","Birmingham",1,5059
"2684","Crested Butte",1,11403
"2685","Palmer",1,1919
"2686","Columbus",1,22099
"2687","Bell Gardens",1,6401
"2688","Stillwater",1,2202
"2689","Talladega",1,33039
"2690","Talladega",1,36475
"2691","Harrison",1,22284
"2692","Phoenix",1,13504
"2693","Magnolia",1,5984
"2694","Indianapolis",3,99805
"2695","Meridian",1,1615
"2696","Missoula",1,2699
"2697","Fort Pierce",1,17281
"2698","Hayward",1,1391
"2699","Greenwood Village",1,38546
"2700","Augusta",1,8199
"2701","Oroville",1,40494
"2702","Demopolis",1,514
"2703","Haynesville",1,14317
"2704","Spartanburg",1,34341
"2705","Auburn",1,13563
"2706","Fort Chiswell",1,1754
"2707","Glendale",1,75312
"2708","Pratt",1,11845
"2709","Oklahoma City",2,1014
"2710","Alpine",1,48398
"2711","Mantoloking",1,9570
"2712","Fresno",1,8335
"2713","Chattanooga",1,25569
"2714","Muskogee",1,18265
"2715","Robbins",1,21441
"2716","Wagoner",1,4367
"2717","Clarksdale",1,18159
"2718","St. Paul",2,64893
"2719","Salt Lake City",2,27717
"2720","Shakopee",1,2315
"2721","Ogden",1,6378
"2722","Glen Burnie",1,5610
"2723","Spartanburg",1,1094
"2724","Port Charlotte",1,66959
"2725","Newport",1,45743
"2726","Golden",1,990
"2727","St. Clair Shores",1,6667
"2728","Albuquerque",1,1471
"2729","Laramie",1,16485
"2730","Danville",1,10752
"2731","Bandon",1,18068
"2732","Idaho Falls",1,1860
"2733","Charleston",1,734
"2734","Jacksonville",1,6287
"2735","North Las Vegas",1,8087
"2736","Houston",1,9436
"2737","Port Orange",1,14898
"2738","Los Angeles",1,18484
"2739","Phoenix",1,27091
"2740","Parkville",1,9931
"2741","South Lake Tahoe",1,9465
"2742","Barnesville",1,74760
"2743","Las Vegas",1,2409
"2744","Kingwood",1,1873
"2745","St. Louis",1,30153
"2746","Detroit",1,27380
"2747","Sioux Falls",2,865
"2748","Martha Lake",1,8614
"2749","Davenport",1,51390
"2750","Tulsa",1,31401
"2751","Riverton",1,36534
"2752","Pittsburg",1,4657
"2753","Snellville",1,8709
"2754","Newport",1,67910
"2755","Washington",1,1454
"2756","Spanaway",1,7967
"2757","Paris",1,1235
"2758","McBee",1,42102
"2759","Miami Gardens",1,54064
"2760","Brockton",1,10764
"2761","Green Bay",1,42807
"2762","Salt Lake City",1,211
"2763","Cartersville",1,2313
"2764","Wheat Ridge",1,826
"2765","Monroe",1,529
"2766","Vineland",1,38154
"2767","Elkhorn",1,180279
"2768","San Antonio",1,3459
"2769","Kearns",2,23671
"2770","Memphis",1,5865
"2771","Longview",1,2240
"2772","Tacoma",1,28986
"2773","Columbus",1,16888
"2774","Porterville",1,14018
"2775","Gainesville",1,28913
"2776","Jeffersonville",1,1133
"2777","Alamogordo",1,66385
"2778","Fort Smith",2,50317
"2779","Atlanta",1,4215
"2780","Orem",1,46051
"2781","Mountain View",1,1994
"2782","Chinle",1,39223
"2783","West Jordan",1,21926
"2784","Enterprise",1,2454
"2785","Farmersville",1,19155
"2786","Milwaukee",1,311
"2787","Rochester",1,2781
"2788","Portland",1,126589
"2789","Thousand Oaks",1,5058
"2790","Sullivan",1,510
"2791","Oak Ridge",1,423
"2792","Wellington",1,67
"2793","Clovis",1,869
"2794","Okarche",1,22786
"2795","Auburn",1,4849
"2796","Honolulu",1,5104
"2797","Lawtey",1,2329
"2798","Nashville",1,236
"2799","Chiloquin",1,3852
"2800","Scarbro",1,8610
"2801","Memphis",1,421291
"2802","Millbrae",1,2100
"2803","Greenville",1,32584
"2804","Mableton",1,2799
"2805","Victorville",1,10228
"2806","Houston",1,22290
"2807","Orlando",1,7830
"2808","Hastings",2,173591
"2809","Portland",1,85
"2810","Greenback",1,941
"2811","Epping",1,25117
"2812","Nampa",1,25694
"2813","Okmulgee",1,5545
"2814","Houston",1,34431
"2815","Kennewick",1,3005
"2816","Honolulu",1,53921
"2817","Las Cruces",1,37996
"2818","Enid",1,46228
"2819","Palatka",2,5409
"2820","Hammond",1,210
"2821","Newark",1,13478
"2822","Newark",1,692
"2823","Orlando",1,1581
"2824","Los Angeles",1,59395
"2825","Peoria",1,45
"2826","Williamsburg",1,456
"2827","Baltimore",1,8359
"2828","Harrison",1,4772
"2829","Reno",1,30477
"2830","Oak Harbor",1,3028
"2831","Henderson",1,14003
"2832","Miami",1,10386
"2833","Longmont",1,9918
"2834","Honolulu",1,49215
"2835","Los Angeles",1,458
"2836","Los Angeles",1,5538
"2837","Masontown",1,385
"2838","League City",1,2548
"2839","Middleton",1,52936
"2840","Eagle Point",1,17825
"2841","Garden Grove",1,14229
"2842","Virginia Beach",1,9248
"2843","Marysville",1,1041
"2844","Flushing",1,1458
"2845","Temple Hills",2,32007
"2846","Hopkinsville",2,4391
"2847","Lancaster",1,36407
"2848","Garden Plain",1,23569
"2849","Walla Walla",1,1139
"2850","Manitowoc",1,403
"2851","Shreveport",1,5336
"2852","Vernon Hills",1,2741
"2853","Ankeny",1,19893
"2854","Jacksonville",1,2573
"2855","Laredo",1,81557
"2856","Laredo",1,16592
"2857","Greensboro",1,20149
"2858","Mesa",1,36532
"2859","Fort Worth",1,4925
"2860","Detroit",1,17362
"2861","Laredo",1,22410
"2862","Laredo",1,10560
"2863","Dover",1,5292
"2864","Las Cruces",1,67213
"2865","Henderson",1,20907
"2866","Laredo",1,121323
"2867","Buffalo",1,19074
"2868","Cumming",1,43649
"2869","Gary",1,42
"2870","Georgetown",1,733
"2871","Tucson",1,113819
"2872","Missouri City",1,6086
"2873","Stanwood",1,469
"2874","Greenville",1,11347
"2875","Houston",1,4626
"2876","Pawtucket",1,1497
"2877","Citronelle",1,1237
"2878","Greenville",1,30365
"2879","Dallas",1,22779
"2880","Cincinnati",1,5296
"2881","Sacramento",1,20475
"2882","Galveston",1,15588
"2883","Moultrie",1,2706
"2884","Morris",1,4869
"2885","Hollywood",1,6358
"2886","Westminster",1,19501
"2887","Covington",1,2614
"2888","Bernalillo",1,18352
"2889","Cheney",1,2253
"2890","Jackson",1,3811
"2891","Arlington",1,32390
"2892","Sedalia",1,15779
"2893","Fairview",1,124694
"2894","Floral City",1,6498
"2895","South Pasadena",1,411
"2896","Beverly Hills",1,9408
"2897","Houston",1,6645
"2898","Redlands",1,2358
"2899","Tarboro",1,33235
"2900","Phoenix",1,5819
"2901","Phoenix",1,740
"2902","Redding",1,9379
"2903","Richmond",1,1240
"2904","Port Allegany",1,12581
"2905","Miami",1,3129
"2906","Blacksburg",1,1585
"2907","Las Vegas",1,22225
"2908","Charlotte",1,1089
"2909","Westminster",1,1673
"2910","York",1,5391
"2911","Christiansburg",1,630
"2912","Alamosa",1,2212
"2913","Cincinnati",1,5771
"2914","Festus",2,11510
"2915","Bakersfield",1,25233
"2916","Enoree",1,1857
